serial_number,user_id,department_code,service_code,district_code,taluk_code,village_code,urban_unit_code,ward_code,block_code,application_date,application_status,last_updated_datetime,application_id,survey_number,subdivision_number,patta_number,role_id,source_code,csc_service_charge,government_service_charge,can_number,dispatch_date,received_date,ip_address,generated_datetime,source_name,renewal_number,workflow_state,igrs_form6_number,return_status,current_subdivision_number,parent_application_id,auto_mutated_flag,is_auto_mutated,igrs_auto_mutation_flag,camp_flag,camp_correction_id,camp_code
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004843,1377,2D,7781,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004844,1377,2E,7782,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004845,1377,2F,7783,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004846,1377,2G,7784,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_prabhakaran,-,0154,28,01,001,,002,0015,2023-05-03,02,2023-09-01 08:13:22.05,2023/0154/28/001257,1358,1F,7908,0,0,,,202328794158,,,10.236.251.149,,-,0,C,202328794158,S,1F,,,,N,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004847,1377,2H,7785,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004848,1377,2I,7786,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004849,1377,2J,7787,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004850,1380,1,7788,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004851,1380,2,7789,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004852,1380,3,7790,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004853,1380,4,7791,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004854,1380,5,7792,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004855,1380,6,7793,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004856,1380,7,7794,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004857,1380,8,7795,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004858,1380,9,7796,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004859,1381,1,7797,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004860,1381,2,7798,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004861,1381,3,7799,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004889,1386,10,7816,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004890,1386,11,7954,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
1,tut_loretta,01,0167,28,01,001,,002,0015,2022-11-22,02,2023-08-31 16:36:31.194488,2022/0167/28/004891,1386,12,7955,0,00,,,,,,59.91.149.153,,tut_prabakaranp,0,C,,,,,,,,,,
