slno,district_code,taluk_code,town_code,ward_code,block_code,application_id,survey_number,subdivision_number,old_patta_number,land_type_code,extent_value_1,extent_value_2,extent_value_3,registration_document_number,transfer_reason,registration_date,registration_place,submission_date,government_private_flag,transaction_status,last_updated_datetime,submitted_datetime,form8a_number,receipt_date,tahsildar_receipt_date,purchased_area,surveyor_received_date,surveyor_completed_date,court_order_number,court_order_date,court_name,purchased_area_unit,sketch_sent_date,sketch_received_date,incorporation_date,handover_received_date,commissioner_change_date,street_code,old_street_code,sis_recommendation,sis_remarks,sis_recommendation_reason,surveyor_recommendation,surveyor_remarks,surveyor_recommendation_reason,district_recommendation,district_remarks,district_recommendation_reason,tahsildar_recommendation,tahsildar_remarks,tahsildar_recommendation_reason,land_category_code,old_door_number,new_door_number,payment_amount,generated_patta_number,total_subdivisions
1026345,28,01,001,102,0015,2025/0154/28/001634,35,2A,59130,2,0,82,20.0,R/527/1/2984,Sale deed,2022-01-08,Tuticorin Joint I,2025-08-25 12:36:23.67,2,01,,,2025/28/01/000388SD,,2025-10-31,82,,,,,,Ares,2025-10-28,,,2025-10-28,,,0001,Y,ok,,Y,ok,,Y,ok,,Y,Approved,,1,,,,,
1026354,28,01,001,102,0015,2025/0154/28/001635,35,2A,59130,2,0,82,20.0,R/527/1/1888,Sale deed,2022-05-05,Tuticorin Joint I,2025-08-25 12:40:32.425,2,01,,,2025/28/01/000388SD,,2025-10-31,82,,,,,,Ares,2025-10-28,,,2025-10-28,,,0001,Y,ok,,Y,ok,,Y,k,,Y,Approved,,1,,,,,
1026363,28,01,001,102,0015,2025/0154/28/001636,35,2A,59130,2,0,82,20.0,R/527/1/2985,Sale deed,2022-01-08,Tuticorin Joint I,2025-08-25 12:43:20.803,2,01,,,2025/28/01/000388SD,,2025-10-31,82,,,,,,Ares,2025-10-28,,,2025-10-28,,,0001,Y,ok,,Y,ok,,Y,k,,Y,Approved,,1,,,,,
1026371,28,01,001,102,0015,2025/0154/28/001637,35,2A,59130,2,0,82,20.0,R/527/1/1404,Sale deed,2025-07-03,Tuticorin Joint I,2025-08-25 12:45:24.758,2,01,,,2025/28/01/000388SD,,2025-10-31,82,,,,,,Ares,2025-10-28,,,2025-10-28,,,0001,Y,ok,,Y,ok,,Y,k,,Y,Approved,,1,,,,,
1043722,28,01,001,102,0015,2025/0154/28/001839,35,11,65541,2,0,27,0.0,R/527/1/3924/2025,Sale deed,2025-09-12,Tuticorin Joint I,2025-09-12 17:22:52.762,,02/15,,,,,,-,,,,,,-,,,,,,,,N,Incorrect Survey Number,08,S,,,N,IN CORRECTSURVEY NO,15,N,Incorrect survey number,15,1,,,,,
1053745,28,01,001,102,0015,2025/0154/28/001912,35,2T,59150,2,0,16,80.4,R/527/1/577,Settlement deed,2023-10-02,Tuticorin Joint I,2025-09-23 17:13:32.699,2,01,,,2025/28/01/000385SD,,2025-01-03,80,,,,,,Square Metre,2025-09-26,,,2025-09-30,,,0001,Y,ok,,Y,k,,Y,recommended,,Y,Approved,,1,,,,,
1053823,28,01,001,102,0015,2025/0154/28/001914,35,11,65541,2,0,27,0.0,1293/2005,Legal Heir,2006-02-09,Tuticorin Joint I,2025-09-23 17:47:50.493,2,02/15,,,,,,2700,,,,,,Square Metre,,,,,,,0001,N,Incorrect Survey Number,08,S,,,N,IN CORRECT SURVEY NO,15,N,Incorrect survey number,15,3,,,,,
1053849,28,01,001,102,0015,2025/0154/28/001915,35,11,65541,2,0,27,0.0,384/2008,Legal Heir,2008-06-02,Tuticorin Joint I,2025-09-23 18:00:38.953,2,02/15,,,,,,1372,,,,,,Square Feet,,,,,,,0001,N,Incorrect Survey Number,08,S,,,N,IN CORRECT SURVEY NO,15,N,Incorrect survey number,15,3,,,,,
1053868,28,01,001,102,0015,2025/0154/28/001916,35,11,65541,2,0,27,0.0,1640/2014,Legal Heir,2014-04-07,Tuticorin Joint I,2025-09-23 18:11:40.565,2,02/15,,,,,,3144,,,,,,Square Feet,,,,,,,0001,N,Incorrect Survey Number,08,S,,,N,IN CORRECT SURVEY NO,15,N,Incorrect survey number,15,3,,,,,
1241355,28,01,001,102,0015,2026/0154/28/001197,35,4,65535,2,0,7,56.0,R/527/1/2671/2026,Sale deed,2026-06-18,Tuticorin Joint I,2026-06-18 16:36:10.546,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,,,,,0,,,,,
425573,28,01,001,103,0015,2023/0154/28/000021,90,0,60858,2,0,2,7.0,R/524/1/6415/2022,விடுதலை ஆவணம்,2022-12-30,மேலூர்_தூத்துக்குடி,2023-01-06 15:56:40.293,,01,2023-01-18 19:16:15.451,,2023/28/01/000057SD,,0023-07-16,-,,2023-01-09,,,,-,2023-01-09,,,,,0001,,Y,ok,"",Y,ok,"",Y,ok,"",Y,Approved.,"",,"","",,,
490824,28,01,001,103,0015,2023/0154/28/001142,6,1,60742,2,0,60,64.0,R/524/1/2061/2023,ஏற்பாடு/ செட்டில்மெண்டு ஆவணம்,2023-04-26,மேலூர்_தூத்துக்குடி,2023-04-26 17:40:15.46,,02/15,2023-07-28 15:24:46.246,,"",,0034-01-13,-,,,,,,-,,,,,,,,,,,,,,,,,N,REEJCT,15,1,,,,,
738606,28,01,001,103,0015,2024/0154/28/001095,6,1,60742,2,0,60,64.0,R/524/1/3498/2022,Sale deed,2022-07-13,Melur,2024-05-30 11:01:07.112,,01,2024-06-14 00:00:00,,2024/28/01/000222SD,,2024-01-27,6064,,2024-06-14,,,,Square Metre,2024-06-14,,,,,0001,,Y,ok,"",Y,OK,"",Y,ok,"",Y,ok,,,"","",,,
738607,28,01,001,103,0015,2024/0154/28/001095,6,2,60743,2,0,1,1.0,R/524/1/3498/2022,Sale deed,2022-07-13,Melur,2024-05-30 11:01:07.112,,02/08,2024-06-14 00:00:00,,2024/28/01/000222SD,,2024-01-27,101,,2024-06-14,,,,Square Metre,2024-06-14,,,,,0001,,N,reject,08,N,REJECT,08,N,incorrect,15,N,reject,08,,"","",,,
740472,28,01,001,103,0015,2024/0154/28/001117,90,1,60858,2,0,1,3.5,R/524/1/2291/2024,ஏற்பாடு/ செட்டில்மெண்டு ஆவணம்,2024-05-31,மேலூர்_தூத்துக்குடி,2024-05-31 19:04:52.785,,02/15,2024-06-25 20:21:39.751,,"",,0030-12-15,-,,,,,,-,,,,,,,,,,,,,,,,,N,Reject,15,1,,,,,
767285,28,01,001,103,0015,2024/0154/28/001397,6,1,60742,2,0,59,62.5,R/524/1/165/2006,Sale deed,2006-01-23,Melur,2024-07-09 12:15:56.042,2,02/15,,,,,,1313,,,,,,4,,,,,,,0001,N,APPLIED BY XEROX OWNER NAME DID NOT RESPONSE,15,S,,,N,APPLIED BY XEROX OWNER NAME DID NOT RESPONSE/[Incorrect Survey /Subdivision number],15,N,Incorrect survey number,15,1,,,,,
1028960,28,01,001,103,0015,2025/0154/28/001672,6,1,60742,2,0,59,62.5,R/524/1/3853,Sale deed,2014-09-11,Melur_Tuticorin,2025-08-28 12:43:55.988,2,01,,,2025/28/01/000372SD,,2025-01-04,59,,,,,,Ares,2025-08-28,,,2025-08-28,,,0001,Y,ok,,Y,K,,Y,ok,,Y,Approved.,,1,,,,,
1060150,28,01,001,103,0015,2025/0154/28/001963,6,1,60742,2,0,58,61.1,R/524/1/4516/2025,விற்பனை ஆவணம்/ கிரைய ஆவணம்,2025-09-30,மேலூர்_தூத்துக்குடி,2025-09-30 17:38:20.866,,01,,,2025/28/01/000396SD,,2025-11-30,-,,,,,,-,2025-11-14,,,2025-11-25,,,,Y,ok,,Y,Ok,,Y,recommended,,Y,Approved.,,1,,,,,
1083831,28,01,001,103,0015,2025/0154/28/002080,6,1,60742,2,0,58,61.1,R/524/1/4010,Sale deed,2027-05-08,Melur_Tuticorin,2025-10-22 13:02:45.389,2,01,,,2025/28/01/000396SD,,2025-11-30,438,,,,,,Square Feet,2025-11-14,,,2025-11-25,,,0001,Y,ok,,Y,Ok,,Y,recommended,,Y,Approved.,,1,,,,,
1083903,28,01,001,103,0015,2025/0154/28/002081,6,1,60742,2,0,58,61.1,R/524/1/4011,Sale deed,2027-05-08,Melur_Tuticorin,2025-10-22 13:35:39.665,2,01,,,2025/28/01/000396SD,,2025-11-30,655,,,,,,Square Feet,2025-11-14,,,2025-11-25,,,0001,Y,ok,,Y,Ok,,Y,recommended,,Y,Approved.,,1,,,,,
1191938,28,01,001,103,0015,2026/0154/28/000530,5,4A,60738,2,0,93,80.0,R/524/1/1240/2026,ஏற்பாடு/ செட்டில்மெண்டு ஆவணம்,2026-03-13,மேலூர்_தூத்துக்குடி,2026-03-13 13:39:22.004,,01,,,2026/28/01/000496SD,,2026-05-28,-,,,,,,-,2026-05-17,,,2026-05-17,,,,Y,ok,,Y,ok,,Y,ok,,Y,Approved,,1,,,,,
1203867,28,01,001,103,0015,2026/0154/28/000685,5,4A,60738,2,0,93,80.0,R/524/1/1282,Sale deed,1987-12-06,Melur_Tuticorin,2026-04-07 13:45:01.91,2,01,,,2026/28/01/000496SD,,2026-05-28,80,,,,,,Square Metre,2026-05-17,,,2026-05-17,,,0001,Y,ok,,Y,ok,,Y,ok,,Y,Approved,,1,,,,,
1250087,28,01,001,103,0015,2026/0154/28/001280,5,4A,60738,2,0,92,80.0,R/524/1/3106/2010,Sale deed,2010-12-09,Melur_Tuticorin,2026-06-30 12:17:56.402,2,,,,,,,101,,,,,,Square Metre,,,,,,,0001,,,,,,,,,,,,,1,,,,,
1250101,28,01,001,103,0015,2026/0154/28/001281,5,4A,60738,2,0,92,80.0,R/524/1/3105/2010,Sale deed,2011-01-09,Melur_Tuticorin,2026-06-30 12:26:12.883,2,,,,,,,1089,,,,,,Square Feet,,,,,,,0001,,,,,,,,,,,,,1,,,,,
